case_id,trader_id,symbol,days_before_news,volume_spike_ratio,price_correlation,holding_period_days,account_concentration,prior_trading_avg_volume,trade_amount_usd,volatility_zscore,options_activity,sector_correlation,account_history_violations,is_insider_trading
SEC-2010-001,TRADER_A,MSFT,2,8.5,0.92,14,0.78,50000,2400000,2.1,0.85,0.91,0,1
SEC-2010-002,TRADER_B,GOOG,3,6.2,0.88,21,0.65,75000,1800000,1.8,0.72,0.85,0,1
SEC-2010-003,TRADER_C,AAPL,1,9.1,0.95,7,0.85,45000,3200000,2.5,0.88,0.93,0,1
SEC-2010-004,TRADER_D,FB,4,4.3,0.71,35,0.45,120000,950000,0.8,0.35,0.62,0,0
SEC-2010-005,TRADER_E,AMZN,2,7.8,0.89,11,0.72,60000,2100000,2.0,0.81,0.89,0,1
SEC-2010-006,TRADER_F,TSLA,1,10.2,0.96,5,0.88,35000,2800000,2.6,0.92,0.94,0,1
SEC-2010-007,TRADER_G,NFLX,5,3.1,0.58,45,0.38,150000,650000,0.5,0.22,0.45,0,0
SEC-2010-008,TRADER_H,JPM,3,6.9,0.87,18,0.68,70000,1950000,1.9,0.76,0.86,0,1
SEC-2010-009,TRADER_I,GS,2,7.5,0.90,12,0.75,55000,2250000,2.2,0.83,0.90,1,1
SEC-2010-010,TRADER_J,BAC,4,4.1,0.62,38,0.42,130000,800000,0.7,0.33,0.58,0,0
SEC-2011-001,TRADER_K,PYPL,2,8.8,0.93,13,0.80,48000,2500000,2.3,0.87,0.92,0,1
SEC-2011-002,TRADER_L,SQ,1,9.5,0.94,8,0.86,38000,3100000,2.4,0.89,0.95,0,1
SEC-2011-003,TRADER_M,ZOOM,3,6.5,0.85,22,0.63,80000,1750000,1.7,0.71,0.84,0,1
SEC-2011-004,TRADER_N,NVDA,2,7.2,0.88,16,0.70,65000,2050000,2.1,0.82,0.88,0,1
SEC-2011-005,TRADER_O,AMD,4,3.8,0.59,40,0.40,140000,720000,0.6,0.31,0.55,0,0
SEC-2012-001,TRADER_P,TESLA,1,9.8,0.97,6,0.90,32000,3400000,2.7,0.93,0.96,0,1
SEC-2012-002,TRADER_Q,COIN,2,8.1,0.91,15,0.76,52000,2300000,2.0,0.80,0.90,0,1
SEC-2012-003,TRADER_R,RIOT,3,6.8,0.86,20,0.67,75000,1850000,1.8,0.74,0.87,0,1
SEC-2012-004,TRADER_S,HOOD,4,4.2,0.60,36,0.44,135000,850000,0.7,0.34,0.59,0,0
SEC-2012-005,TRADER_T,DASH,2,7.9,0.89,10,0.73,58000,2200000,2.1,0.84,0.91,0,1
SEC-2013-001,TRADER_U,META,1,10.1,0.95,7,0.87,40000,3050000,2.5,0.91,0.94,0,1
SEC-2013-002,TRADER_V,UBER,2,8.3,0.92,14,0.79,50000,2450000,2.2,0.86,0.92,0,1
SEC-2013-003,TRADER_W,GOOGL,3,6.6,0.84,23,0.62,82000,1800000,1.6,0.69,0.82,0,1
SEC-2013-004,TRADER_X,MSFT,4,3.9,0.61,39,0.41,138000,780000,0.6,0.32,0.56,0,0
SEC-2013-005,TRADER_Y,SNOW,2,8.0,0.90,12,0.74,56000,2280000,2.0,0.82,0.89,0,1
SEC-2014-001,TRADER_Z,AI,1,9.7,0.96,8,0.89,35000,3200000,2.6,0.92,0.95,0,1
