trade_id,account_id,symbol,trade_date,quantity,price,amount_usd,days_to_news,news_event,volume_spike_ratio,price_correlation,account_concentration,risk_score,probability,risk_level
TRADE_001,ACC_12345,MSFT,2024-01-15,50000,310.5,15525000,2,Earnings Announcement,1.0,0.6,1.0,50,0.5,MEDIUM
TRADE_003,ACC_12347,AAPL,2024-01-16,75000,185.3,13897500,1,FDA Approval,1.5,0.6399999999999999,1.0,50,0.5,MEDIUM
TRADE_006,ACC_12350,TSLA,2024-01-16,60000,220.45,13227000,1,Model Launch,1.2,0.628,1.0,50,0.5,MEDIUM
TRADE_005,ACC_12349,AMZN,2024-01-15,45000,175.8,7911000,2,Partnership Deal,0.9,0.596,0.7911,50,0.5,MEDIUM
TRADE_012,ACC_12356,SQ,2024-01-16,72000,125.3,9021600,1,IPO Settlement,1.44,0.6376,0.90216,50,0.5,MEDIUM
TRADE_014,ACC_12358,NVDA,2024-01-16,65000,880.5,57232500,1,Chip Launch,1.3,0.632,1.0,50,0.5,MEDIUM
TRADE_008,ACC_12352,JPM,2024-01-15,40000,195.75,7830000,2,Merger Announcement,0.8,0.592,0.783,50,0.5,MEDIUM
TRADE_009,ACC_12353,GS,2024-01-16,55000,380.2,20911000,1,Settlement News,1.1,0.624,1.0,50,0.5,MEDIUM
TRADE_016,ACC_12360,TSLA,2024-01-15,80000,218.9,17512000,1,Production Milestone,1.6,0.6439999999999999,1.0,50,0.5,MEDIUM
TRADE_017,ACC_12361,COIN,2024-01-15,52000,98.75,5135000,2,Regulatory Approval,1.04,0.6015999999999999,0.5135,32,0.32,LOW
TRADE_020,ACC_12364,DASH,2024-01-16,58000,42.3,2453400,1,Expansion News,1.16,0.6264,0.24534,28,0.29,LOW
TRADE_002,ACC_12346,GOOG,2024-01-16,35000,140.75,4926250,2,Acquisition News,0.7,0.588,0.492625,28,0.29,LOW
TRADE_011,ACC_12355,PYPL,2024-01-15,48000,78.5,3768000,2,Spinoff News,0.96,0.5983999999999999,0.3768,28,0.29,LOW
TRADE_018,ACC_12362,RIOT,2024-01-16,42000,12.35,518700,1,Mining News,0.84,0.6135999999999999,0.05187,28,0.29,LOW
TRADE_013,ACC_12357,ZOOM,2024-01-15,30000,65.8,1974000,2,Acquisition Rumor,0.6,0.584,0.1974,28,0.29,LOW
TRADE_004,ACC_12348,FB,2024-01-14,20000,315.25,6305000,37,Earnings Announcement,0.4,-0.12400000000000004,0.6305,22,0.22,LOW
TRADE_010,ACC_12354,BAC,2024-01-11,18000,335.4,6037200,38,Earnings Call,0.36,-0.14559999999999995,0.60372,22,0.22,LOW
TRADE_007,ACC_12351,NFLX,2024-01-10,15000,425.6,6384000,36,Content Deal,0.3,-0.10799999999999997,0.6384,22,0.22,LOW
TRADE_015,ACC_12359,AMD,2024-01-09,12000,175.2,2102400,37,Conference Talk,0.24,-0.13040000000000004,0.21024,1,0.01,LOW
TRADE_019,ACC_12363,HOOD,2024-01-10,25000,15.8,395000,40,Earnings Report,0.5,-0.17999999999999994,0.0395,1,0.01,LOW
