trade_id,account_id,symbol,trade_date,trade_time,quantity,price,volume_sold_usd,news_event_date,days_to_news,news_event_type
TRADE_001,ACC_12345,MSFT,2024-01-15,14:35,50000,310.50,15525000,2024-01-17,2,Earnings Announcement
TRADE_002,ACC_12346,GOOG,2024-01-16,10:22,35000,140.75,4926250,2024-01-18,2,Acquisition News
TRADE_003,ACC_12347,AAPL,2024-01-16,15:48,75000,185.30,13897500,2024-01-17,1,FDA Approval
TRADE_004,ACC_12348,FB,2024-01-14,11:15,20000,315.25,6305000,2024-02-20,37,Earnings Announcement
TRADE_005,ACC_12349,AMZN,2024-01-15,13:42,45000,175.80,7911000,2024-01-17,2,Partnership Deal
TRADE_006,ACC_12350,TSLA,2024-01-16,09:30,60000,220.45,13227000,2024-01-17,1,Model Launch
TRADE_007,ACC_12351,NFLX,2024-01-10,14:22,15000,425.60,6384000,2024-02-15,36,Content Deal
TRADE_008,ACC_12352,JPM,2024-01-15,12:08,40000,195.75,7830000,2024-01-17,2,Merger Announcement
TRADE_009,ACC_12353,GS,2024-01-16,10:45,55000,380.20,20911000,2024-01-17,1,Settlement News
TRADE_010,ACC_12354,BAC,2024-01-11,15:33,18000,335.40,6037200,2024-02-18,38,Earnings Call
TRADE_011,ACC_12355,PYPL,2024-01-15,13:15,48000,78.50,3768000,2024-01-17,2,Spinoff News
TRADE_012,ACC_12356,SQ,2024-01-16,09:05,72000,125.30,9021600,2024-01-17,1,IPO Settlement
TRADE_013,ACC_12357,ZOOM,2024-01-15,14:42,30000,65.80,1974000,2024-01-17,2,Acquisition Rumor
TRADE_014,ACC_12358,NVDA,2024-01-16,11:20,65000,880.50,57232500,2024-01-17,1,Chip Launch
TRADE_015,ACC_12359,AMD,2024-01-09,16:45,12000,175.20,2102400,2024-02-15,37,Conference Talk
TRADE_016,ACC_12360,TSLA,2024-01-15,14:38,80000,218.90,17512000,2024-01-16,1,Production Milestone
TRADE_017,ACC_12361,COIN,2024-01-15,13:30,52000,98.75,5135000,2024-01-17,2,Regulatory Approval
TRADE_018,ACC_12362,RIOT,2024-01-16,10:15,42000,12.35,518700,2024-01-17,1,Mining News
TRADE_019,ACC_12363,HOOD,2024-01-10,15:22,25000,15.80,395000,2024-02-19,40,Earnings Report
TRADE_020,ACC_12364,DASH,2024-01-16,12:05,58000,42.30,2453400,2024-01-17,1,Expansion News
