trade_id,symbol,risk_score,probability,days_to_news,volume_spike,price_correlation,account_concentration
TRADE_001,MSFT,62,0.6247210447225535,2,1.0,0.5,0.5
TRADE_002,GOOG,62,0.6247210447225535,2,1.0,0.5,0.5
TRADE_003,AAPL,62,0.6279748546565531,1,1.0,0.5,0.5
TRADE_005,AMZN,62,0.6247210447225535,2,1.0,0.5,0.5
TRADE_006,TSLA,62,0.6279748546565531,1,1.0,0.5,0.5
TRADE_008,JPM,62,0.6247210447225535,2,1.0,0.5,0.5
TRADE_009,GS,62,0.6279748546565531,1,1.0,0.5,0.5
TRADE_011,PYPL,62,0.6247210447225535,2,1.0,0.5,0.5
TRADE_012,SQ,62,0.6279748546565531,1,1.0,0.5,0.5
TRADE_013,ZOOM,62,0.6247210447225535,2,1.0,0.5,0.5
TRADE_014,NVDA,62,0.6279748546565531,1,1.0,0.5,0.5
TRADE_016,TSLA,62,0.6279748546565531,1,1.0,0.5,0.5
TRADE_017,COIN,62,0.6247210447225535,2,1.0,0.5,0.5
TRADE_018,RIOT,62,0.6279748546565531,1,1.0,0.5,0.5
TRADE_020,DASH,62,0.6279748546565531,1,1.0,0.5,0.5
